1,2,0.586
3,4,1.149
5,6,1.799
3,7,0.875
1,8,0.444
9,10,2.099
11,12,1.009
1,13,0.88
14,15,0.331
16,17,0.372
18,19,0.204
20,21,0.885
22,23,0.295
4,24,0.59
25,26,0.332
27,24,0.432
24,6,0.999
12,28,2.273
29,30,0.453
3,31,1.539
32,26,0.267
33,30,1.231
34,35,0.302
36,37,0.973
5,38,0.362
15,24,0.528
27,3,0.286
39,40,0.57
3,41,0.523
3,11,0.751
12,30,2.354
12,10,8.355
4,42,0.56
3,43,1.725
13,21,1.115
27,44,0.416
45,6,7.416
3,23,1.176
16,10,0.317
10,46,0.371
47,22,0.431
39,48,0.408
18,26,1.04
31,37,0.922
35,49,0.836
50,51,0.271
37,15,1.857
35,52,0.454
53,41,1.762
19,43,0.357
53,22,0.698
42,48,0.276
54,16,0.34
43,2,0.378
54,31,0.373
34,18,0.232
55,42,0.302
3,1,1.323
19,2,0.853
35,12,0.46
32,30,1.035
25,30,0.782
49,7,0.329
36,2,0.445
4,51,0.526
3,50,0.899
18,30,11.873
16,48,0.34
5,7,0.307
6,56,0.638
1,39,0.483
36,43,0.42
34,8,0.906
8,57,0.472
38,6,0.995
38,21,1.539
7,43,0.281
38,22,1.068
39,44,0.252
5,58,0.796
44,6,1.557
34,3,0.191
15,59,0.643
45,15,4.275
3,37,0.887
60,33,0.654
61,62,0.771
63,64,0.846
39,6,6.401
45,46,13.015
54,10,0.285
3,15,1.156
35,51,0.271
54,62,0.731
31,11,0.371
42,44,0.988
63,61,0.324
39,62,0.834
54,6,6.144
42,52,0.454
30,56,0.325
30,65,1.025
1,12,0.954
15,46,0.678
25,6,0.755
8,22,0.377
27,12,6.121
44,51,0.912
30,62,0.71
55,10,0.934
36,44,0.708
60,43,0.303
54,43,0.527
49,30,0.593
32,37,1.039
60,6,0.713
3,66,1.402
3,49,0.258
5,11,0.388
18,12,1.049
8,6,7.367
53,11,0.396
36,8,0.561
35,30,0.312
53,16,0.321
47,7,0.307
66,23,0.355
67,21,0.306
8,7,0.262
3,47,2.327
5,67,0.796
32,60,0.511
12,58,6.109
19,68,0.204
59,62,0.479
57,12,0.511
29,8,0.444
31,6,2.108
8,30,0.461
43,6,3.053
41,52,0.435
33,48,0.877
47,65,2.425
19,12,2.572
3,25,0.877
57,30,0.281
5,32,0.489
63,47,0.314
