1,2,14.174
3,4,10.327
5,6,9.175
5,7,9.062
8,9,8.494
1,8,8.416
10,6,7.83
1,9,7.733
1,11,7.089
2,11,7.089
6,3,7.048
5,12,6.883
13,14,6.871
8,15,6.759
16,17,6.605
14,18,6.539
8,2,6.527
8,11,6.522
19,20,6.373
21,22,6.339
10,23,6.231
21,3,6.144
24,25,5.931
5,1,5.743
6,26,5.683
24,26,5.665
2,9,5.638
27,20,5.558
3,22,5.539
25,28,5.522
29,23,5.419
30,31,5.351
32,33,5.271
34,3,5.241
12,35,5.235
14,17,5.223
36,6,5.154
37,26,5.062
30,3,4.97
26,25,4.965
38,28,4.931
39,27,4.876
37,20,4.863
31,9,4.766
5,35,4.761
20,28,4.722
32,9,4.72
40,21,4.67
14,26,4.658
41,12,4.641
26,1,4.634
42,26,4.63
10,29,4.618
3,43,4.602
7,20,4.596
37,42,4.556
30,44,4.524
6,39,4.504
6,21,4.396
26,28,4.382
42,17,4.352
6,40,4.307
26,17,4.295
31,11,4.268
37,6,4.217
6,35,4.183
45,1,4.178
30,5,4.156
46,25,4.136
26,46,4.083
10,12,4.081
44,3,4.062
43,4,4.062
26,20,4.024
47,14,3.997
44,12,3.983
30,12,3.983
16,48,3.983
34,4,3.96
47,49,3.954
6,23,3.911
48,33,3.906
33,8,3.835
6,29,3.812
24,46,3.773
37,14,3.728
43,50,3.724
51,14,3.71
6,1,3.708
37,17,3.685
8,50,3.669
14,28,3.648
6,27,3.641
6,4,3.612
44,5,3.6
33,50,3.556
50,9,3.538
5,20,3.53
3,12,3.521
41,50,3.492
14,48,3.43
5,48,3.401
48,9,3.399
6,41,3.367
49,28,3.359
47,6,3.324
18,1,3.193
41,33,3.174
6,14,3.158
37,40,3.151
5,3,3.137
44,6,3.093
30,6,3.068
5,14,3.041
41,8,3.036
16,5,2.994
18,28,2.965
5,26,2.96
6,52,2.93
6,49,2.911
14,1,2.896
24,14,2.887
41,9,2.881
31,28,2.816
14,52,2.747
14,9,2.69
51,26,2.662
37,18,2.624
24,28,2.617
37,9,2.54
6,24,2.517
31,18,2.5
24,40,2.468
13,49,2.466
40,18,2.455
37,24,2.454
13,28,2.404
18,49,2.335
6,28,2.327
18,9,2.284
37,53,2.26
14,40,2.238
21,28,2.219
45,9,2.215
54,24,2.212
40,26,2.181
14,55,2.174
16,51,2.153
51,56,2.153
56,22,2.138
51,24,2.085
40,9,2.06
1,23,2.048
15,9,1.956
52,56,1.948
8,28,1.943
14,21,1.941
40,28,1.919
45,8,1.915
52,9,1.906
45,18,1.899
16,26,1.884
37,28,1.874
52,26,1.867
37,56,1.828
6,9,1.816
51,42,1.802
14,56,1.8
6,43,1.8
37,16,1.777
52,1,1.764
15,50,1.763
14,43,1.762
42,52,1.761
54,6,1.753
31,43,1.751
37,1,1.721
24,52,1.719
21,49,1.713
40,3,1.702
26,56,1.697
37,49,1.688
40,43,1.687
10,42,1.686
21,31,1.667
24,57,1.658
16,49,1.645
14,4,1.642
37,54,1.634
51,49,1.63
39,21,1.627
52,18,1.608
14,45,1.603
54,9,1.591
39,40,1.568
6,53,1.55
10,52,1.549
44,43,1.542
51,25,1.539
58,9,1.538
21,43,1.531
40,31,1.526
44,31,1.518
40,59,1.511
14,25,1.51
24,9,1.509
40,4,1.508
16,24,1.492
37,10,1.482
37,21,1.475
24,56,1.464
45,52,1.458
59,28,1.447
52,28,1.445
60,40,1.443
6,59,1.441
21,4,1.438
43,9,1.425
54,52,1.418
47,43,1.414
61,14,1.41
37,45,1.395
10,28,1.395
58,50,1.389
58,15,1.377
16,40,1.375
24,20,1.366
52,53,1.361
39,18,1.356
14,50,1.354
61,51,1.347
52,40,1.345
54,26,1.34
43,28,1.337
44,34,1.334
6,42,1.327
21,25,1.317
6,34,1.317
31,55,1.296
42,56,1.295
4,49,1.287
34,27,1.284
37,51,1.281
45,40,1.275
24,42,1.269
54,40,1.268
14,31,1.254
43,20,1.251
24,49,1.251
14,42,1.245
6,46,1.244
57,31,1.24
56,25,1.236
49,9,1.234
45,23,1.233
51,28,1.232
47,28,1.231
14,8,1.23
40,53,1.218
37,43,1.216
51,31,1.211
33,15,1.207
14,58,1.204
14,29,1.204
5,45,1.197
21,18,1.196
10,59,1.193
15,28,1.192
6,25,1.183
52,23,1.178
5,9,1.176
62,9,1.174
18,53,1.173
45,28,1.162
24,21,1.162
44,27,1.161
52,49,1.16
40,29,1.16
6,58,1.155
46,9,1.14
31,25,1.137
52,31,1.136
37,39,1.135
24,18,1.135
34,40,1.135
40,25,1.133
45,20,1.131
26,49,1.131
6,18,1.119
51,52,1.118
7,31,1.117
40,33,1.117
6,50,1.116
29,9,1.104
63,31,1.101
61,31,1.101
52,33,1.1
61,26,1.097
6,33,1.094
16,25,1.093
50,28,1.092
16,61,1.09
6,60,1.089
19,39,1.087
37,31,1.078
39,53,1.074
57,59,1.072
37,23,1.068
57,3,1.065
37,50,1.064
6,15,1.062
39,4,1.058
24,62,1.058
45,29,1.055
16,52,1.043
39,12,1.041
37,34,1.04
43,27,1.038
24,59,1.036
57,25,1.035
54,1,1.035
4,9,1.032
43,35,1.022
16,55,1.02
31,33,1.017
46,1,1.017
32,14,1.016
37,13,1.011
39,28,1.01
60,18,1.01
37,29,1.009
6,57,1.009
39,52,0.999
40,46,0.998
24,55,0.998
45,43,0.996
62,15,0.996
59,20,0.995
18,25,0.994
46,8,0.987
29,33,0.983
14,33,0.982
16,9,0.981
1,28,0.98
5,21,0.977
6,20,0.977
13,56,0.97
37,59,0.969
13,4,0.966
37,58,0.965
28,9,0.965
37,33,0.962
14,2,0.961
46,4,0.952
24,4,0.949
8,4,0.946
43,25,0.941
32,53,0.935
42,25,0.934
42,28,0.93
37,32,0.929
54,63,0.928
13,3,0.928
40,49,0.924
